id,num_of_admin_pages,admin_page_duration,num_of_info_pages,info_page_duration,num_of_product_pages,product_page_duration,total_duration,BounceRates,ExitRates,PageValues,closeness_to_holiday,Month,device,internet_browser,Region,user_type,Weekend,A,B,C,D,purchase
0,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0,Feb,1,safari_15,1,Returning_Visitor,FALSE,c_1,118.8800944,log202,,0
1,0,0,0,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,4,safari_14,9,Returning_Visitor,FALSE,c_3,113.3584226,log404,,0
2,0,0,0,,,627.5 minutes,627.5,0.02,0.05,0,0,Feb,3,browser_3_v17,1,Returning_Visitor,TRUE,c_4,121.5076952,log202,,0
3,0,0,0,0.0 minutes,19,154.2166667 minutes,154.2166667,0.015789474,0.024561404,0,0,Feb,2,chrome_99.1.3,1,Returning_Visitor,FALSE,c_3,93.74717575,log_100,,0
4,0,0,0,0.0 minutes,1,0.0 minutes,,0.2,0.2,0,0.4,Feb,2,edge_96.0.1054.75,3,Returning_Visitor,FALSE,c_3,99.54582421,log202,,0
5,0,0,0,0.0 minutes,2,,,0,0.1,0,0.8,Feb,2,,2,Returning_Visitor,FALSE,c_3,104.7124049,log200,,0
6,0,0,0,0.0 minutes,3,738.0 minutes,,0,0.022222222,0,0.4,Feb,2,edge_96.0.1054.72,1,Returning_Visitor,FALSE,c_2,89.78656794,log404,,0
7,0,0,0,0.0 minutes,3,395.0 minutes,395,0,0.066666667,0,0,Feb,1,safari_15,3,Returning_Visitor,FALSE,c_3,101.1845339,log_100,,0
8,,0,0,0.0 minutes,16,407.75 minutes,,0.01875,0.025833333,0,0.4,Feb,1,safari_15.4,4,Returning_Visitor,FALSE,,83.93173925,log_100,,0
9,0,0,0,0.0 minutes,7,280.5 minutes,280.5,0,0.028571429,0,0,Feb,1,safari_15.2,1,Returning_Visitor,FALSE,c_3,97.89963262,log200,,0
10,0,,0,0.0 minutes,6,98.0 minutes,98,0,0.066666667,0,0,Feb,2,browser_5_v11,1,Returning_Visitor,FALSE,c_3,101.2214824,log200,,0
11,0,0,0,0.0 minutes,2,68.0 minutes,68,0,0.1,0,0,Feb,3,chrome_80,3,Returning_Visitor,FALSE,c_3,95.51998611,log202,,0
12,2,53,0,0.0 minutes,23,1668.285119 minutes,1721.285119,0.008333333,0.016312636,0,0,Feb,1,safari_15.2,9,Returning_Visitor,FALSE,,109.3586319,log_100,,0
13,,0,,0.0 minutes,1,0.0 minutes,0,0.2,0.2,0,0,Feb,1,safari_14.1,4,Returning_Visitor,FALSE,c_3,111.5479879,log200,,0
14,0,0,0,0.0 minutes,13,334.9666667 minutes,334.9666667,0,0.007692308,0,0,Feb,1,safari_15,1,Returning_Visitor,TRUE,c_4,113.2126221,log_100,,0
15,0,0,0,0.0 minutes,20,2981.166667 minutes,2981.166667,0,0.01,0,0,Feb,2,edge_97.0.1072.76,4,Returning_Visitor,FALSE,c_4,104.3541435,log202,,0
16,0,0,0,0.0 minutes,8,136.1666667 minutes,136.1666667,0,0.008333333,0,1,Feb,2,chrome_98.0.1,5,Returning_Visitor,TRUE,c_1,107.8022067,log404,,0
17,0,0,0,0.0 minutes,2,0.0 minutes,0,0.2,0.2,0,0,Feb,3,browser_3_v12,1,Returning_Visitor,FALSE,c_3,80.97193082,log200,,0
